Marca de Tiempo [s],Marca de Tiempo [ μs ],Dirección de Bloque Lógico (LBA) de un sector de lectura,Tamaño de un bloque al que accede una muestra,Entropia_de_Shannon,Tipo de Archivo
1597978864,725837974,46727040,4096,0.994604,benigno
1598593672,764271120,45961328,4096,0.987919,benigno
1598601241,123462449,45584928,4096,0.993661,benigno
1622610013,455982639,16618912,4096,0.550887,benigno
1597986866,407396708,45446096,4096,0.994121,benigno
1596696332,975711606,6540264,4096,0.421904,benigno
1596706453,609230310,46295248,4096,0.994403,benigno
1595983500,525175429,87626424,4096,0.993922,benigno
1598246857,699401369,76516664,4096,0.995116,benigno
1598246577,52884150,50089728,4096,0.994409,benigno
1598246547,620811818,67724968,4096,0.994513,benigno
1598250519,497145350,81223032,4096,0.994772,benigno
1594100950,28821074,59175032,4096,0.994623,benigno
1590394721,662443356,96368008,4096,0.994345,benigno
1596700162,1027904289,6551168,4096,0.445502,benigno
1594102729,848622245,58022848,4096,0.995022,benigno
1590391770,134354644,44977312,4096,0.994367,benigno
1587364851,969025630,76331328,4096,0.98741,benigno
1597886227,326666939,81388904,4096,0.994222,benigno
1622091746,971828327,6542192,4096,0.417772,benigno
1590395873,419293978,81887368,4096,0.993914,benigno
1596761373,109211213,81726064,4096,0.994058,benigno
1596762938,182143882,70215808,4096,0.994738,benigno
1595982091,521606495,45875656,4096,0.994692,benigno
1587350274,953213653,99090136,4096,0.99346,benigno
1622701536,823022376,6513200,4096,0.431713,benigno
1622703044,261974951,6932032,4096,0.255061,benigno
1586932186,300631812,16756376,4096,0.993867,benigno
1589946560,806672620,47428192,4096,0.0,benigno
1595982510,851632782,91921048,4096,0.995127,benigno
1587347330,379307667,70339328,4096,0.994473,benigno
1596763614,79882565,80608000,4096,0.99423,benigno
1596763913,201167503,70595304,4096,0.993393,benigno
1598249173,302652491,46079304,4096,0.994355,benigno
1594099407,24077616,59323288,4096,0.994865,benigno
1586220977,1023336875,6611744,4096,0.390236,benigno
1594099891,316963271,57836928,4096,0.994933,benigno
1598239018,181094759,731552,4096,0.0,benigno
1622608031,691702318,6483944,4096,0.41139,benigno
1597986868,438895845,1109424,4096,0.925612,benigno
1625624633,182458518,63940104,4096,0.632069,benigno
1596708579,266439263,1093848,4096,0.993919,benigno
1622612810,378046311,6905560,4096,0.268102,benigno
1589946263,685244032,46923456,4096,0.0,benigno
1598244263,451671029,929592,4096,0.50057,benigno
1598244266,182745537,45488576,4096,0.993808,benigno
1598246836,81454625,81185288,4096,0.994344,benigno
1598248859,618990232,71639480,4096,0.994223,benigno
1598236399,143431871,46398720,3072,0.920348,benigno
1594091297,915351895,58242080,4096,0.995177,benigno
1598593652,1044851104,45446976,4096,0.994563,benigno
1594103009,510876155,58346480,4096,0.994683,benigno
1622092420,804445253,6497232,4096,0.423133,benigno
1622599149,720756135,6483944,4096,0.421964,benigno
1590395099,807408797,67939824,4096,0.993581,benigno
1622600733,402188911,6483936,4096,0.44571,benigno
1622611794,437279974,6483936,4096,0.414565,benigno
1594103152,105705917,57393840,4096,0.993996,benigno
1590392457,862641713,78849632,4096,0.994454,benigno
1594103161,502485041,57563152,4096,0.994367,benigno
1595981743,902411902,6602128,4096,0.397656,benigno
1598603461,14184514,45498632,4096,0.99444,benigno
1622096245,467383288,50859064,4096,0.994976,benigno
1590399983,670956473,76997576,4096,0.993066,benigno
1590394715,921222985,96151504,4096,0.995069,benigno
1596763843,1033351876,6527944,4096,0.439609,benigno
1622090096,840929257,45489568,4096,0.993541,benigno
1598599861,324113304,6510912,4096,0.426145,benigno
1598246215,104006762,76181704,4096,0.994596,benigno
1590399376,695175193,87201520,4096,0.993363,benigno
1622705368,161814523,6500120,4096,0.419709,benigno
1598602341,239770295,46337344,4096,0.99474,benigno
1597986188,537761194,46602440,4096,0.994669,benigno
1598238030,119305286,77045064,4096,0.00410185,benigno
1622611203,132029271,6544504,4096,0.420878,benigno
1590392202,987140656,73813032,4096,0.993898,benigno
1596700107,728988943,6936896,4096,0.252013,benigno
1597886481,550198495,1195824,4096,0.994612,benigno
1590400792,945612616,81072096,4096,0.991687,benigno
1587349555,993350309,91734672,4096,0.993983,benigno
1596696354,240843025,1185016,4096,0.926691,benigno
1596706544,620930079,76120888,4096,0.994455,benigno
1622704837,247357771,6936880,4096,0.402971,benigno
1594098733,298864227,57463504,4096,0.993512,benigno
1587362567,262645718,76246920,4096,0.993418,benigno
1589946256,9603387,44819600,4096,0.0,benigno
1622611806,935516870,6483936,4096,0.410379,benigno
1625631036,45618338,63799640,4096,0.55894,benigno
1622612242,1029293631,734111,4096,0.535596,benigno
1590391758,48254794,44331040,4096,0.994177,benigno
1622090056,842356664,46434888,4096,0.994357,benigno
1596763328,198301037,82245176,4096,0.993384,benigno
1596763334,135796928,45013800,4096,0.99491,benigno
1623907823,452621943,588136,4096,0.42357,benigno
1589946532,793020355,44536024,4096,0.0,benigno
1587349924,318677046,94167880,4096,0.993794,benigno
1596689360,589608194,6573192,4096,0.411025,benigno
1595981517,313691277,80965912,4096,0.995164,benigno
1622611217,161588376,46603632,4096,0.539225,benigno
1597883723,185756263,1240256,3584,0.923474,benigno
1598243922,902485003,6588512,4096,0.422355,benigno
1590399555,50486891,80781576,4096,0.993492,benigno
1589946941,51629645,46910512,4096,0.0,benigno
1596761666,322980321,87597408,4096,0.994339,benigno
1587365638,739470486,86332472,4096,0.992968,benigno
1594103518,948641197,57983896,4096,0.994833,benigno
1589947796,623799228,44012784,4096,0.0,benigno
1598237739,90015008,6893064,4096,0.504013,benigno
1598248218,455192520,91747240,4096,0.99409,benigno
1598249986,782559661,46251144,4096,0.993958,benigno
1598243580,420082345,6548152,4096,0.41806,benigno
1622096215,1029408853,6595296,4096,0.430782,benigno
1623895765,640735587,28391952,4096,0.0,benigno
1595982834,694418565,71302832,4096,0.993673,benigno
1594105106,563907748,6588520,4096,0.401253,benigno
1590395646,263190329,76322600,4096,0.994489,benigno
1622601605,59718041,6483944,4096,0.424665,benigno
1622609238,691652745,6483944,4096,0.429621,benigno
1589946691,1025003387,46818328,4096,0.994021,benigno
1590392461,996270920,79191440,4096,0.994439,benigno
1590393995,507977057,83866312,4096,0.995095,benigno
1587365401,848361157,71701352,4096,0.991697,benigno
1587347945,478106552,73398136,4096,0.994338,benigno
1622703535,788185498,1227512,4096,0.993844,benigno
1622095130,162594153,6559288,4096,0.394222,benigno
1597882491,836914814,70524800,4096,0.308756,benigno
1586933097,243525578,60936712,4096,0.0,benigno
1586933132,253123375,68448072,4096,0.0,benigno
1597886479,193729438,1164776,4096,0.994078,benigno
1598593559,144503240,6571328,4096,0.408025,benigno
1597981209,689000804,6898208,4096,0.387496,benigno
1586931480,673633696,6565704,4096,0.41712,benigno
1586932223,200713787,58526896,4096,0.267675,benigno
1623910135,155579743,914600,4096,0.426634,benigno
1622094669,476694829,47783352,4096,0.995038,benigno
1622093244,826903393,6568320,4096,0.407645,benigno
1587347975,430317545,74455376,4096,0.994181,benigno
1587348837,501293807,84273872,4096,0.99362,benigno
1596707419,850697881,6595368,4096,0.427409,benigno
1595983869,596756329,70226592,4096,0.993825,benigno
1596705510,108792735,81174000,4096,0.994485,benigno
1587350271,40280054,98999088,4096,0.99374,benigno
1596689024,593847140,1245704,4096,0.359597,benigno
1598238376,638324864,45409192,4096,0.994503,benigno
1594099418,79529327,59721640,4096,0.994439,benigno
1594091266,470522773,57533480,4096,0.9945,benigno
1590395879,452441939,81977944,4096,0.994946,benigno
1590395614,181537279,87542888,4096,0.994659,benigno
1587364441,203839214,71703632,4096,0.992317,benigno
1594103790,292550928,57717480,4096,0.993342,benigno
1594103482,838395547,1254992,4096,0.994219,benigno
1623895777,556113512,28858224,4096,0.0,benigno
1622603122,524360537,28141608,4096,0.940429,benigno
1596763316,156654822,86978120,4096,0.994431,benigno
1596763246,3393033,1110088,4096,0.883983,benigno
1623904507,678002448,47431768,4096,0.423227,benigno
1598602899,350027908,45934952,4096,0.993762,benigno
1589946530,787054415,44464728,4096,0.0,benigno
1622612658,34881174,6519584,4096,0.389452,benigno
1622704453,808198955,1302288,4096,0.994328,benigno
1590391793,990902292,69188136,4096,0.994493,benigno
1622092270,179335503,46260584,4096,0.994133,benigno
1622612220,26744329,46699168,4096,0.993771,benigno
1622599123,834314120,1241848,4096,0.286733,benigno
1596760466,759056713,71235328,4096,0.994419,benigno
1589948027,707415667,47140136,4096,0.0,benigno
1596706113,555281181,6609416,4096,0.502731,benigno
1622612627,832838708,6597744,4096,0.336781,benigno
1597987752,541218043,6933648,4096,0.186215,benigno
1586247918,503938192,6514112,4096,0.411873,benigno
1586249568,747815933,1047536,4096,0.994198,benigno
1594103976,767459978,57784872,4096,0.994512,benigno
1589946707,1013579984,28649032,4096,0.0,benigno
1590400992,835437633,70217152,4096,0.99435,benigno
1586933937,964951973,58156496,4096,0.0,benigno
1598248836,570288906,67431984,4096,0.994392,benigno
1598599402,435712872,1337536,4096,0.422547,benigno
1590395839,535717280,92337568,4096,0.9847,benigno
1622090078,847917532,1101632,4096,0.994791,benigno
1622704863,722611316,6483944,4096,0.444932,benigno
1622093840,181968555,46404248,4096,0.994248,benigno
1622608590,541791644,46088168,4096,0.469812,benigno
1590401228,745184121,82287056,4096,0.994339,benigno
1594091273,110277785,57692072,4096,0.994731,benigno
1623895793,513442670,44566504,4096,0.0,benigno
1586222487,117537702,44358928,4096,0.0,benigno
1596763196,93000594,6551752,4096,0.410861,benigno
1590394295,828508152,90843872,4096,0.993894,benigno
1598603908,256340440,46344688,4096,0.994094,benigno
1587362823,576732917,75382312,4096,0.989279,benigno
1586249614,801344640,28352744,4096,0.648263,benigno
1590391794,72989728,69255160,4096,0.897381,benigno
1587364681,733334835,72120896,4096,0.993166,benigno
1589947850,560825129,47887688,4096,0.0,benigno
1597985438,358490665,1325624,4096,0.989273,benigno
1596761654,168717515,70688968,4096,0.994479,benigno
1595983515,1055110848,82162912,4096,0.994655,benigno
1586248864,1363667,28385232,4096,0.994714,benigno
1622702979,149526199,6532536,4096,0.4134,benigno
1622090891,18646092,47202288,4096,0.994196,benigno
1596763614,155327071,80913880,4096,0.994212,benigno
1596762962,332025517,87036160,4096,0.994273,benigno
1589947391,1072210562,6960848,4096,0.529663,benigno
1622601997,523435244,6896584,4096,0.432548,benigno
1586931472,588844517,58497760,4096,0.0,benigno
1596762676,329601433,71114536,4096,0.99516,benigno
1597986517,14803524,45406904,4096,0.995439,benigno
1595982394,545539241,46723992,4096,0.994039,benigno
1622701495,644173993,45372416,4096,0.994217,benigno
1622612813,905052366,1130032,4096,0.994606,benigno
1622703995,307583627,46455720,4096,0.994596,benigno
1586222481,355585899,44128184,4096,0.0,benigno
1587364429,48617772,76384408,4096,0.992045,benigno
1594102737,593628278,92769800,4096,0.994569,benigno
1594104892,730388338,57458736,4096,0.994247,benigno
1594100640,236328187,57995760,4096,0.994825,benigno
1587350562,714642573,103043888,4096,0.994604,benigno
1595984273,610864856,93378560,4096,0.993873,benigno
1597886449,357605661,46582032,4096,0.994033,benigno
1597977620,801553680,1512136,4096,0.485372,benigno
1590392467,737857355,78644048,4096,0.994178,benigno
1623895791,392191418,44429416,4096,0.0,benigno
1586932240,740299398,57960072,4096,0.993523,benigno
1598240459,646217278,1126568,4096,0.91727,benigno
1594100153,751468236,58309392,4096,0.994356,benigno
1598244235,942558396,71653824,4096,0.157038,benigno
1622600393,246459435,6506776,4096,0.427009,benigno
1598248888,311777355,71087776,4096,0.993635,benigno
1594099677,428569860,58915872,4096,0.994568,benigno
1589947180,577679688,44353600,4096,0.0,benigno
1622612804,774650458,6544280,4096,0.437216,benigno
1622612052,90719386,1511688,4096,0.401171,benigno
1597980776,1063913312,46325784,4096,0.215457,benigno
1622600371,573389428,6563432,4096,0.435245,benigno
1596708298,420603102,840376,4096,0.993758,benigno
1598602849,135014816,6509800,4096,0.414414,benigno
1623906237,432504782,720304,4096,0.471338,benigno
1596763284,209893488,46780552,4096,0.994833,benigno
1589947421,792803195,16618384,4096,0.538109,benigno
1596706160,345954539,71362840,4096,0.994384,benigno
1596688474,770879246,665648,4096,0.905402,benigno
1625632550,178255300,63733648,4096,0.449667,benigno
1587365636,611185662,69760256,4096,0.994803,benigno
1589948226,654735921,44747240,4096,0.0,benigno
1597884489,608777468,46300728,4096,0.99407,benigno
1595982460,876929105,1324968,4096,0.964134,benigno
1596696603,229128212,2290008,4096,0.503217,benigno
1590394265,862788234,89155608,4096,0.994051,benigno
1622601466,950876874,6522272,4096,0.375181,benigno
1622599463,901914883,45606896,4096,0.994688,benigno
1590395351,736356652,81419096,4096,0.994833,benigno
1597885021,7431560,46602264,4096,0.839698,benigno
1589947844,507371915,47632000,4096,0.0,benigno
1598602847,336304153,46173728,4096,0.994637,benigno
1598602855,392369693,46318608,4096,0.994188,benigno
1597987756,247794995,46590472,4096,0.995219,benigno
1622602648,936983302,45487416,4096,0.993347,benigno
1622096277,498886713,53244072,4096,0.994465,benigno
1597984807,371863507,46230216,4096,0.994498,benigno
1597986536,271214291,6899192,4096,0.217325,benigno
1589948231,672338815,6557944,4096,0.414305,benigno
1598244230,405711066,6511024,4096,0.425081,benigno
1598243886,473856437,71367328,4096,0.493609,benigno
1590394739,673894591,97324552,4096,0.994442,benigno
1594098733,850367338,57498080,4096,0.995005,benigno
1598249568,792459435,91930184,4096,0.994124,benigno
1622093730,287444607,1165944,4096,0.30478,benigno
1622612736,867801433,681784,4096,0.576769,benigno
1597981722,732627810,46712696,4096,0.189843,benigno
1594105132,25226587,70803824,4096,0.995387,benigno
1586249391,598411587,6612160,4096,0.426296,benigno
1594103534,976620611,71235544,4096,0.993376,benigno
1587350263,34729131,98652552,4096,0.995257,benigno
1595982183,1002905332,71333320,4096,0.994555,benigno
1596706409,602782593,6941544,4096,0.336471,benigno
1596697202,55384370,6927928,4096,0.384303,benigno
1587347929,889781210,72907096,4096,0.994443,benigno
1595983502,167663931,92708496,4096,0.993698,benigno
1598248194,467066939,71154088,4096,0.994854,benigno
1598246836,70378252,81184960,4096,0.994769,benigno
1590400792,859779850,81038600,4096,0.991647,benigno
1622090182,1031495955,51256216,4096,0.994834,benigno
1596763825,204216765,45368256,4096,0.995274,benigno
1596761323,153089822,718896,4096,0.99504,benigno
1586248594,130344594,28641008,4096,0.0,benigno
1590391801,1017925363,69620328,4096,0.994511,benigno
1622703470,988745729,6886952,4096,0.223949,benigno
1598595130,944941760,6894352,4096,0.230798,benigno
1598593147,691451126,46592128,4096,0.994031,benigno
1586932215,529661170,57801376,4096,0.0,benigno
1586931437,27287372,60528552,4096,0.0,benigno
1597884626,979890107,86972176,4096,0.994836,benigno
1622096259,385635473,52602376,4096,0.994104,benigno
1598246837,872460667,81039272,4096,0.99486,benigno
1598246196,553248338,76202960,4096,0.994945,benigno
1598250559,1017822183,67779816,4096,0.994272,benigno
1598238294,753081890,6907640,4096,0.246884,benigno
1598235621,651148680,6888816,4096,0.248009,benigno
1598238725,760299084,45506008,4096,0.994694,benigno
1598249225,952604271,99508368,4096,0.993224,benigno
1596707767,912362366,46462064,4096,0.891266,benigno
1596705421,445289632,67430440,4096,0.712327,benigno
1590400364,955457405,87217720,4096,0.993927,benigno
1589946239,735662468,44203728,4096,0.0,benigno
1589947206,597514813,47139960,4096,0.0,benigno
1589947627,651793837,44926280,4096,0.0,benigno
1589946743,939331777,46942064,4096,0.0,benigno
1589946917,17249095,44122424,4096,0.0,benigno
1589948238,769045204,47068816,4096,0.0,benigno
1622703187,426048514,6483936,4096,0.400462,benigno
1622704570,970786729,6483944,4096,0.400336,benigno
1622611324,672307551,1089128,4096,0.411644,benigno
1622609810,701478378,6483944,4096,0.411378,benigno
1622093788,211317914,46228832,4096,0.994903,benigno
1622705780,553961802,6483944,4096,0.403054,benigno
1596762303,787398514,45363568,4096,0.196602,benigno
1596761355,250801359,92161408,4096,0.994208,benigno
1590395634,239823672,81051928,4096,0.994438,benigno
1596760506,894064715,76902200,4096,0.994106,benigno
1596763890,304919280,6943944,4096,0.257567,benigno
1590395075,685359797,69421696,4096,0.994966,benigno
1590391793,1062632489,69223824,4096,0.99458,benigno
1590392489,971696924,80674944,4096,0.994419,benigno
1596689000,971606857,6550592,4096,0.42213,benigno
1598237993,232289953,46113568,4096,0.995214,benigno
1595982798,785805199,93364112,4096,0.993644,benigno
1587347931,516007260,72973568,4096,0.426376,benigno
1596763264,118602337,93349952,4096,0.994215,benigno
1622090100,928644870,1332992,4096,0.518677,benigno
1598592696,467575404,6592760,4096,0.426562,benigno
1590394007,475531376,84504480,4096,0.994995,benigno
1622600339,63565535,6483936,4096,0.414059,benigno
1589946546,689330199,45006008,4096,0.0,benigno
1589946554,888519053,47183944,4096,0.0,benigno
1622702196,16322329,55311168,4096,0.181718,benigno
1622702120,263960833,1284656,4096,0.994541,benigno
1622090773,365989,45951976,4096,0.932041,benigno
1622092350,287463414,1216528,4096,0.994493,benigno
1597885713,758606983,6363536,4096,0.026625,benigno
1587348216,770382710,77062496,4096,0.994124,benigno
1598248197,562297338,99405120,4096,0.993972,benigno
1598249624,97618369,96573488,4096,0.994167,benigno
1586933998,90200536,28435352,4096,0.99448,benigno
1597986515,684715331,6511168,4096,0.415391,benigno
1589946488,248605344,6498792,4096,0.393305,benigno
1622601495,657816802,46242248,4096,0.994681,benigno
1596760512,866232509,86986912,4096,0.994693,benigno
1587350288,1022729502,99595320,4096,0.994773,benigno
1590399799,139926038,70408992,4096,0.993474,benigno
1589947151,932180240,28303168,4096,0.428191,benigno
1596761674,312620901,71334552,4096,0.993889,benigno
1622601181,915500859,45432536,4096,0.994329,benigno
1586931524,122844739,60674048,4096,0.0,benigno
1594091311,477036761,58572328,4096,0.994139,benigno
1598238387,57010728,6608208,4096,0.425057,benigno
1595981817,545384321,91541032,4096,0.994253,benigno
1586932189,122926983,57862984,4096,0.994841,benigno
1590399943,686530463,81126960,4096,0.992922,benigno
1622091794,648763000,6483944,4096,0.419888,benigno
1622091217,248016134,1122328,4096,0.498509,benigno
1622600361,902368515,1337544,4096,0.421249,benigno
1596760486,888162975,81118424,4096,0.994537,benigno
1598246154,154065441,92352096,4096,0.994706,benigno
1594103786,333835664,81430280,4096,0.99461,benigno
1594102977,383005709,58133168,4096,0.994499,benigno
1598242939,804585899,1296696,4096,0.556029,benigno
1586933095,635947296,67834048,4096,0.0,benigno
1587350294,710755801,99787072,4096,0.99398,benigno
1596707900,554748926,6584360,4096,0.37012,benigno
1589947781,4241588,28496800,4096,0.42362,benigno
1595981165,509057337,1083896,4096,0.296251,benigno
1597987471,878325273,6918416,4096,0.242109,benigno
1598249242,518494250,70903424,4096,0.994321,benigno
1596706146,245035594,96390016,4096,0.99453,benigno
1587348495,338034848,79764480,4096,0.994329,benigno
1587349530,101501186,90873448,4096,0.99438,benigno
1622090170,1006788497,47476600,4096,0.994422,benigno
1598604473,70037475,46174800,4096,0.9935,benigno
1587364857,781259099,76043552,4096,0.99264,benigno
1598237751,10646642,45484072,4096,0.784848,benigno
1597884544,523024486,6964416,4096,0.231414,benigno
1598602375,221796605,46610440,4096,0.993383,benigno
1598242922,576537503,6929288,4096,0.255269,benigno
1598236289,874814246,46360680,4096,0.993268,benigno
1598235963,879037584,46405424,4096,0.993805,benigno
1598250519,364102201,81194616,4096,0.993858,benigno
1594100948,1051046993,59154016,4096,0.993214,benigno
1589947381,645997428,44450032,4096,0.0,benigno
1589947963,210730297,1497792,4096,0.51001,benigno
1622609193,374474299,45363088,4096,0.995005,benigno
1625631892,505446726,46472648,4096,0.493402,benigno
1594105318,502896148,6981088,4096,0.230503,benigno
1597884554,301653039,6509712,4096,0.420741,benigno
1597981800,351988524,46124840,4096,0.360045,benigno
1596763578,63739924,1438816,4096,0.99444,benigno
1596763869,164079949,99363784,4096,0.993794,benigno
1622599536,266058845,6483936,4096,0.42416,benigno
1587348867,379167072,85277552,4096,0.995018,benigno
1596706540,813603005,71733984,4096,0.994052,benigno
1595984275,825067252,71251064,4096,0.993827,benigno
1595983479,825249386,6905272,4096,0.256309,benigno
1622705417,547744131,45437664,4096,0.993734,benigno
1598606746,816167662,236063112,4096,0.284681,benigno
1596762359,937854965,81441840,4096,0.994611,benigno
1590392477,800483553,79966912,4096,0.993354,benigno
1597884624,117669436,81458160,4096,0.995028,benigno
1598592638,315637023,502616,4096,0.482473,benigno
1598595452,365839818,46592672,4096,0.696419,benigno
1598593646,202653427,45362352,4096,0.994074,benigno
1622092931,824749657,45435520,4096,0.993816,benigno
1590399559,20943025,82156248,4096,0.994338,benigno
1594102745,706283370,87644104,4096,0.99444,benigno
1596763343,1040543370,91480576,4096,0.993922,benigno
1596761243,137610328,6516856,4096,0.430618,benigno
1596760506,708564989,91564664,4096,0.994273,benigno
1590400003,611124588,92451408,4096,0.994368,benigno
1594103975,67264522,1491792,4096,0.994451,benigno
1590391788,141886530,68906152,4096,0.993951,benigno
1622092907,325141045,6611848,4096,0.410255,benigno
1595983879,594428263,71039944,4096,0.994429,benigno
1596705112,421377662,715296,4096,0.994239,benigno
1594100371,1028849789,57295976,4096,0.994712,benigno
1598248207,168981249,6581392,4096,0.375591,benigno
1598248910,275472797,76510736,4096,0.99324,benigno
1597977838,14442062,797744,4096,0.476088,benigno
1597978199,225210857,6540304,4096,0.42489,benigno
1597886504,37408867,6543200,4096,0.383444,benigno
1590400790,871266873,49861184,4096,0.993508,benigno
1625624593,192565172,63722680,4096,0.43316,benigno
1596763608,158219726,91588544,4096,0.994655,benigno
1590395590,371981981,96464016,4096,0.994537,benigno
1622599867,326419157,46084320,4096,0.577068,benigno
1622701670,121340091,846912,4096,0.419868,benigno
1586222215,244415710,6531792,4096,0.416407,benigno
1598243199,487371775,1050472,4096,0.46332,benigno
1597883349,950184439,6499272,4096,0.436949,benigno
1622094673,564614407,45068944,4096,0.994859,benigno
1625629751,323878768,244178664,4096,0.882197,benigno
1586222451,959135517,6570032,4096,0.430786,benigno
1622096242,543489930,47466520,4096,0.0688446,benigno
1622602613,606296287,6490984,4096,0.433995,benigno
1598604919,468338896,1443560,4096,0.994677,benigno
1598600317,1017107416,45920816,4096,0.99381,benigno
1594103990,923593321,58066344,4096,0.993977,benigno
1594103768,785668383,87614272,4096,0.994183,benigno
1622610030,303857451,6910168,4096,0.244168,benigno
1590400118,786547120,82111616,4096,0.994358,benigno
1590399396,754507176,82150728,4096,0.994576,benigno
1622599182,652674972,6493384,4096,0.399055,benigno
1595984285,1060079301,71527152,4096,0.994395,benigno
1596707880,27370943,82049696,4096,0.993967,benigno
1597884569,321125252,1127152,4096,0.460324,benigno
1586222425,175446099,1054832,4096,0.994498,benigno
1586248869,505265281,28303152,4096,0.993799,benigno
1597881849,450614943,96426760,4096,0.994607,benigno
1598246875,791961970,81041872,4096,0.993949,benigno
1598237723,384148931,46411616,4096,0.994348,benigno
1594099112,523086035,6483936,4096,0.099189,benigno
1622092921,1049246062,45487864,4096,0.995377,benigno
1587347342,63697376,70724120,4096,0.994143,benigno
1596706104,332273796,1226696,4096,0.91751,benigno
1622090204,795815609,52081552,4096,0.995486,benigno
1622096125,320103410,46442256,4096,0.993797,benigno
1595981206,174807071,45019728,4096,0.993852,benigno
1596696961,122970444,6523904,4096,0.351895,benigno
1597886058,645538417,46132808,4096,0.994738,benigno
1622599848,885030758,6521056,4096,0.391028,benigno
1622093033,956359445,45198904,4096,0.994609,benigno
1586248597,776567118,28828016,4096,0.0,benigno
1594103977,229276569,57807120,4096,0.994319,benigno
1594105355,902591464,57847712,4096,0.994741,benigno
1594091295,1034402545,58178048,4096,0.993624,benigno
1597977518,1029198181,46250888,4096,0.99443,benigno
1596763889,260778320,80870904,4096,0.994102,benigno
1590395839,531449044,68004528,4096,0.993781,benigno
1596760986,527671837,82092120,4096,0.993517,benigno
1598239601,583982705,46266600,4096,0.40094,benigno
1589946488,204044359,1037328,4096,0.993483,benigno
1597885770,949056390,1227784,4096,0.99366,benigno
1594103185,539947609,70456936,4096,0.995341,benigno
1586247943,864209438,28525544,4096,0.0,benigno
1622096231,273713944,48984568,4096,0.994102,benigno
1625625669,319199262,63924536,4096,0.612606,benigno
1598605752,129884786,46315200,4096,0.994087,benigno
1587350553,175359545,102728416,4096,0.994247,benigno
1596762852,146831048,46049168,4096,0.993527,benigno
1590395059,770891199,69980328,4096,0.99378,benigno
1622600734,318316070,45404048,4096,0.995158,benigno
1598595475,115226801,6500552,4096,0.40352,benigno
1586933669,655863173,60247392,4096,0.0,benigno
1586932264,680416986,58793712,4096,0.993643,benigno
1598595552,142496331,6584392,4096,0.445996,benigno
1587350230,1011572057,97581408,4096,0.994235,benigno
1596689077,633505295,662768,4096,0.838352,benigno
1595982523,457577265,44956480,4096,0.993641,benigno
1594103732,346797545,1509392,4096,0.994328,benigno
1587362595,346397533,75647152,4096,0.989719,benigno
1594102955,338950205,44021112,4096,0.994674,benigno
1598236021,800683378,46620136,4096,0.994593,benigno
1622603030,326777015,6504208,4096,0.414065,benigno
1597987105,620794162,46585512,4096,0.994185,benigno
1590394693,800062270,94886248,4096,0.994894,benigno
1596762682,436728573,76967304,4096,0.993942,benigno
1596699017,23018617,6494552,4096,0.39448,benigno
1596763887,439747445,87619056,4096,0.994056,benigno
1589946273,731111822,47328328,4096,0.0,benigno
1622093766,531532091,46603880,4096,0.502516,benigno
1622091434,807593131,46831216,4096,0.419855,benigno
